reponame,developer1,developer2,developer3,developer4,developer5,developer6,developer7,developer8,developer9,developer10,developer11,developer12,developer13,developer14,developer15,developer16,developer17,developer18,developer19,developer20,developer21,developer22,developer23,developer24,developer25,developer26,developer27,developer28,developer29,developer30
merryhime/dynarmic,merryhime,Steveice10,liamwhite,SachinVin,NotToDisturb,Helloworld996,abouvier,,,,,,,,,,,,,,,,,,,,,,,
metabrainz/musicbrainz-server,reosarevok,yvanzo,mwiencek,atj,derat,jesus2099,the-good-boy,brainzbot,Aerozol,santiagofn,Maxr1998,,,,,,,,,,,,,,,,,,,
meteor/meteor,Grubba27,zodern,StorytellerCZ,denihs,rodrigok,fredmaiaarantes,matheusccastroo,vit0rr,radekmie,CLAassistant,harryadel,yrambler2001,filipenevola,Torgen,vlasky,wreiske,paulincai,henriquealbert,allenfuller,veodko,Julusian,msavin,perbergland,jamauro,ocodista,fauzi9331,anddreluis2,tnir,striezel,ziedmahdi
middleman/middleman,markets,k0kubun,le0pard,tdreyno,jbpfran,tnir,henrique-ft,zofrex,phvega,dunkelziffer,teemutammela,akhil-damarla,mickotronic,levinotik,foxacid,michaelrichey,guillerodriguez,caseyscarborough,,,,,,,,,,,,
mikel/mail,c960657,hannes2706,dpaluy,hardyclervil,vinutha-g,HermanHiddema,ahorek,,,,,,,,,,,,,,,,,,,,,,,
mileszs/wicked/pdf,wizardofelves,unixmonkey,Gregurevic,sdrioux,Randall-Coding,thechildwholovesyou,pertsenga,jcatrysse,adriancb,Vinay-Gurjar,myungwoo-song,gilesdotcodes,ameft,kalemi19,jarmo,,,,,,,,,,,,,,,
MinecraftForge/MinecraftForge,ChampionAsh5357,pupnewfster,PaintNinja,cpw,XFactHD,SizableShrimp,LexManos,Shadows-of-Fire,marchermans,Jonathing,RogueLogix,CLAassistant,Matyrobbrt,danorris709,cech12,Lolothepro,Meldexun,TelepathicGrunt,embeddedt,Kovak,agnor99,Technici4n,DBotThePony,Su5eD,ChiefArug,RealMangorage,Commoble,JustRed23,Tslat,bconlon1
minetest/minetest,Desour,sfan5,srifqi,SmallJoker,grorp,lhofhansl,rubenwardy,Zughy,Bituvo,OgelGames,oong819,JosiahWI,appgurueu,rollerozxa,numberZero,Andrey2470T,fluxionary,runsy,Wuzzy2,nininik0,savilli,AFCMS,Montandalar,wsor4035,techno-sam,doxygen-spammer,LandonAConway,MisterE123,efa,PavanLuca
miniupnp/miniupnp,miniupnp,scribam,enihcam,sblagodatskikh,pali,sanderjo,burk3,ben-31,stefantalpalaru,Jamari2k2k2k,MoonlightWave-12,GreatMichaelLee,svenauhagen,insunaa,Handsome1080P,mooninite,,,,,,,,,,,,,,
mirage/mirage,samoht,hannesm,Julow,reynir,palainp,dinosaure,TheLortex,0x0god,dbuenzli,Kensan,Leonidas-from-XIV,,,,,,,,,,,,,,,,,,,
mirage/ocaml-cohttp,mseri,mefyl,talex5,adatario,pirbo,dkalinichenko-js,avsm,rgrinberg,vect0r-vicall,glondu,anuragsoni,ScoreUnder,bikallem,madroach,Julow,,,,,,,,,,,,,,,
mitmproxy/mitmproxy,mhils,stanleygvi,Semnodime,NewUserHa,prady0t,ThomasBucaioni,Prinzhorn,Ariyankj,Lingxi-Li,Mike-Ki-ASD,emanuele-em,DurandA,jylsec,JackCarterSmith,tsaaristo,feynmanliang,Black-Face-Kk,dakar111,pengsamuel,WaterLoran,imlee2021,huidaoweilai2024,Jaymes305,XSXIEYCH,jciaffi,copystring,AndreMPCosta,eggerand13,omicronns,nneonneo
mkleehammer/pyodbc,v-chojas,gordthompson,hb2638,bitranox,keitherskine,Atul997,robmitchellzone,witss,mohamedamine92,gruossomonica,SebDigital,jxu,preneram,abhipalsingh,huashiyiqike,zhiyongzhang87,sdebruyn,IcyGrain,stevenwong,Lexcon,CapAdv,rolexsanches,dylzohtml555,AraHaan,lamourj,amit-chetwood,manngo,chuxz777,mrluthra,schlich
mltframework/mlt,bmatherly,ddennedy,j-b-m,luzpaz,GerryHickman,dany123,ravemo,gebiWangshushu,exceptiondc,frdbr,Seriy-MLGamer,ilearnio,laszloatoth,pinotree,ab503044120,Adonis-Song,vishwin,guiodic,Yamakuzure,Tjoppen,,,,,,,,,,
mltframework/shotcut,ddennedy,bmatherly,Sharc99,Ticrob,dany123,ravemo,Delocop,allesan,wimjongman,luzpaz,andrewk8,kli2013,aaaaadrien,TheRaven500,blaskey,jecarheas,AhNesh,FahadNiazi420,oatycreates,VladimirLevadnij,Proktologe,Mutusen,langfeld,glaubersm,docent27,Abelkrijgtalles,,,,
mm2/Little-CMS,mm2,diogoteles08,sommerluk,ajeb78,ppaalanen,Biswa96,nico,goossenp,kmilos,pjanx,cissou8,wdlkmpx,eli-schwartz,butcherg,,,,,,,,,,,,,,,,
mockery/mockery,ghostwriter,codecov-commenter,fuwasegu,antonsacred,davedevelopment,downsider,ruudk,GrahamCampbell,Bilge,michalbundyra,gmazzap,ruester,anomiex,MrEko,jesperbeisner,hound672,Danny-Smart,alinpop,rneudorf-godaddy,aj-norman,ciltocruz,,,,,,,,,
Modernizr/Modernizr,rejas,FenixHongell,debadutta98,ndrohith09,arya312,ddaniel27,adyuta447,dawidkulpa,rettinghaus,kerabite,rvrvrv,anita-chouhan,zcwtl,MentalGear,YashasviChaurasia,miritas,mathiasbynens,,,,,,,,,,,,,
modxcms/revolution,opengeek,smg6511,JoshuaLuckers,Ruslan-Aleev,sebastian-marinescu,halftrainedharry,Maef,dimasites,Jako,SnowCreative,modxcommunity,Mark-H,modxbot,rsdesign007,matdave,rthrash,ChrstnMgcn,rtripault,BobRay,muzzwood,retoeller,rasxod,Ibochkarev,Bruno17,MiroslavVo,Omeryl,deJaya,juro,gpsietzema,
mojolicious/mojo,kraih,poti1,rawleyfowler,hernan604,jhthorsen,tcheukueppo,marcusramberg,brsakai-csco,jixam,jberger,evoyy,christopherraa,genio,darrenli912,mtelka,kensanata,ilmari,yuriy-zhilovets2,dpanech,lgv5,rabbiveesh,ralyodio,,,,,,,,
mongodb/mongo-csharp-driver,rstam,sanych-sun,BorisDog,JamesKovacs,Zangetsu112,Corniel,sboulema,uweigand,seqmaniac,mongoKart,WindyGPTBot,blink1073,alkampfergit,Oliver-Piorun,simaoribeiro,,,,,,,,,,,,,,,
mongodb/mongo-java-driver,stIncMale,katcharov,vbabanin,jyemin,rozza,ispringer,ashni-mongodb,kdombeck,bananot12-hackerone-test,kistria,cbush,vsct-jburet,,,,,,,,,,,,,,,,,,
mongodb/mongo-perf,leozzx,cswanson310,davish,zelanium,,,,,,,,,,,,,,,,,,,,,,,,,,
mongodb/mongo-python-driver,ShaneHarvey,blink1073,sleepyStick,NoahStapp,thalassemia,stephan-hof,DainisGorbunovs,jcfr,qkrwjdan,sushiboytr,durran,,,,,,,,,,,,,,,,,,,
mongodb/mongo-ruby-driver,jamis,comandeo,alexbevi,ccho-mongodb,,,,,,,,,,,,,,,,,,,,,,,,,,
mongodb/mongoid,jamis,comandeo,johnnyshields,jasonpenny,alexbevi,JohnMaguir,cameronmoreau,Neilshweky,sos4nt,alexbeeken,riseshia,midnight-wonderer,,,,,,,,,,,,,,,,,,
mongodb/mongo,y123456yz,kaloianm,Meilianggang,m4nti5,gewa24,MarcusSorealheis,debdutdeb,jkcherrybomb,jmikola,hemanth8928,mikeshen7,saurabhprasadsah,akirataguchi115,AIxWall,siddux,cusspvz,BillyDonahue,shreyaskalyan,yuanfang0818,kelly-cs,erwee,patrykzabkiewicz,dstorch,,,,,,,
mongodb/node-mongodb-native,nbbeeken,durran,baileympearson,W-A-James,dariakp,addaleax,alecgibson,lerouxb,clemclx,kevinAlbs,alexbevi,JoCat,Grubba27,shreykumar18,bhavya3024,evrg-bot-webhook,,,,,,,,,,,,,,
mong/mongts,arnfinn,Stein-Kato,knarfneslo,JorgenRe1,HajiKedir,,,,,,,,,,,,,,,,,,,,,,,,,
mosa/MOSA-Project,tgiphil,AnErrupTion,charsleysa,jvyden,kiootic,,,,,,,,,,,,,,,,,,,,,,,,,
mozilla/bedrock,alexgibson,stephaniehobson,craigcook,stevejalim,reemhamz,nathan-barrett,pmac,robhudson,slightlyoffbeat,fkiriakos07,flodolo,a-kyne,gene1wood,peiying2,enavajas,yashkhandelwal123,bcolsson,Ingi-Hong,krattliff11,tomrittervg,pascalchevrel,kirill-demtchouk,topotropic,rvandermeulen,NitinRana01125532553,jswinarton,denschub,amishk783,bkochendorfer,LuminitaB
mozilla/firefox-translations-training,bhearsum,gabrielBusta,ahal,eu9ene,TommiNieminen,andrenatal,marco-c,,,,,,,,,,,,,,,,,,,,,,,
mozilla/kitsune,escattone,akatsoulas,smithellis,mikeconley,hannajones,emilghittasv,flodolo,smarnach,heka1024,evictor,elmatrwy,Alahiki,i-santosh,antlsdl1,Fitzjust4ullc,dshin-moz,AliceWyman,kelimuttu,dannycolin,rtanglao,muffinresearch,,,,,,,,,
mrdoob/three.js,Mugen87,sunag,LeviPesin,mrdoob,WestLangley,donmccurdy,afilahkle,gkjohnson,hybridherbst,CodyJasonBennett,aardgoose,danrossi,makc,appache163,elalish,ycw,Methuselah96,repalash,linbingquan,marcofugaro,puxiao,RemusMar,RenaudRohlinger,LinkunGao,andredsm,arpu,makovkins,diarmidmackenzie,MixMasterMitch,cstegel
mrehkopf/sd2snes,mrehkopf,redacted173,codemann8,majorpbx,bitrot-alpha,ICEknigh7,speedyrules,penguinpatrol,Romain80200,auraspgit,gaialily,jjnetcn,lanotlab,Cinaeth,CrispyBuns,DavidOliM,StrikerMan780,wirehack7,,,,,,,,,,,,
mRemoteNG/mRemoteNG,Kvarkas,simonai1254,JeanPluzo,VQFCOSTA-Infortech,antoinekh,n5m1n1,Neustradamus,xBounceIT,AlexandreBourrieau,rmothers,gaokakao,steveballantyne,robina80,sascha-schwegelbauer,darksidds,dr-consit,zuricarmi,mgaugusch,dirk-schuermann,themsley-voiceflex,Reedazz,enrixxel,KeinSupporter,big-edd,xercesbluebutterfly,iviichi,diabloNitz4,swishkin,pl31,neforce
mroonga/mroonga,komainu8,kou,Yuutakasan,,,,,,,,,,,,,,,,,,,,,,,,,,,
msgpack/msgpack-c,redboltz,uyha,codecov-commenter,aberaud,aint-no-programmer,Avalanchecoder,cbccy,joelguittet,gwankyun,,,,,,,,,,,,,,,,,,,,,
mtconnect/cppagent,wsobel,mnoomnoo,robot-ranger,Krdera89,dcaputo-harmoni,rwuthric,markjmorrison,hulinning2,hobbes1069,FullStackPhysics,scottmwyant,,,,,,,,,,,,,,,,,,,
mxe/mxe,Jan200101,darealshinji,toots,rayment,mjwoods,bugwelle,lopippo,txeyen,fatduckling,schloegl,TSC21,brettrjones-github,ls-devs,sabelka,cgilles,Mengjianren,inflex,atsb,brimmen,nikonowiczp,dojoe,realnc,hdclark,mabrand,genpfault,mbunkus,dschwen,,,
mysociety/alaveteli,gbp,garethrees,alexander-griffen,HelenWDTK,mdeuk,laurentS,confirmordeny,WilliamWDTK,FozzieHi,ajparsons,dracos,MattK1234,JenMysoc,schlos,,,,,,,,,,,,,,,,
mysociety/fixmystreet,dracos,davea,neprune,chrismytton,lucascumsille,MorayMySoc,nephila-nacrea,sallybracegirdle,davidw65,jonkri,MyfanwyNixon,mroderick,ajparsons,,,,,,,,,,,,,,,,,
mysociety/theyworkforyou,dracos,ajparsons,struan,it3986,handelaar,MarkFl12,MyfanwyNixon,ashapond,zarino,,,,,,,,,,,,,,,,,,,,,
MythTV/mythtv,kmdewaal,bennettpeter,twitham1,Jpilk,linuxdude42,rcrdnalor,jfabernathy,warpme,garybuhrmaster,gigem,rungitringit,MmAaXx500,dfdario,billmeek,arobro,citronalco,DarkDefender,thomasboehm,marillat,SteveErl,bshanteau,benjsc,mspieth,,,,,,,
naev/naev,bobbens,oo13,ProjectSynchro,lumbar527,UncombedCoconut,BM-W1,Hraelzyr,LJDude,Partmedia,flyxyz123,jonathan-gruber-jg,ThrosturX,VorpalBlade,,,,,,,,,,,,,,,,,
nanoc/nanoc,denisdefreyne,da2x,0x1eef,sarahg,ntkme,blocr,redfast00,bbukh,opatry,axilleas,Fjan,DannyBen,freesteph,DivineDominion,,,,,,,,,,,,,,,,
NeoGeographyToolkit/StereoPipeline,oleg-alexandrov,iamtekson,rbeyer,steo85it,swalterfub,ScottMcMichael,dshean,cc863,adehecq,sxsong1207,Hyradus,,,,,,,,,,,,,,,,,,,
nervosnetwork/ckb,eval-exec,nervos-bot-user,zhangsoledad,chenyukang,quake,mohanson,doitian,xxuejie,driftluo,Keith-CY,gpBlockchain,guomaoqiu,liya2017,XuJiandong,liuck8080,yangby-cryptape,EthanYuan,Flouse,wyjin,Simon-Tl,blckngm,,,,,,,,,
Nesvilab/FragPipe,fcyu,anesvi,She1111,tygrad,dpolasky,danielgeiszler,feng6544,alyssaxin,ClaSofMag,ericart89,guoci,Junzhimo,MP-MS-Spec,BrendonSeale,JM-Bader,ndtivendale,pankajdwid,lolaakinlaja,MatteoLacki,EdwardSC625,vanostad,MarcD83,Litovk,johnpleid,d0minicO,elenitskorda,ohovey5,lbwfff,ashwinkallor,animesh
net-ssh/net-ssh,mfazekas,flux-benj,Slokilla,fwininger,excid3,flux-johnm,tosuke,danpoltawski,yweiy10,davidjkling,tisba,HLFH,Froz10,olleolleolle,,,,,,,,,,,,,,,,
neutrinolabs/xrdp,matt335672,metalefty,iskunk,maghmo1,Cromagnon31,pcgeek86,m666m,jsorg71,themexdev,Nexarian,noorez,yurivict,JSSSSSSSSSS,SorrowKiss,JM-Teule,reukiodo,morgancoxuk,isx2015,steffen-moser,apivovarov,cartpauj,AlexanderZhirov,pktiuk,enricotagliavini,csantosbh,mvinsky,CynCeyd,puneet336,LostPoE,alfredojoseneto
newrelic/newrelic-ruby-agent,fallwith,kaylareopelle,hannahramadan,tannalynn,kford-newrelic,olleolleolle,manuraj17,antonmorant,prateeksen,jcrisp,ajesler,JulienDefrance,CLAassistant,aki1221,jdelStrother,dark-panda,travisbell,zohaib-sarwar-confiz,toncid,ryansch,isaacbowen,ioquatix,fcheung,,,,,,,
next-l/enju/leaf,nabeta,kimihito,cold01water,yegusa,harumukanon,masao,,,,,,,,,,,,,,,,,,,,,,,,
nhibernate/fluent-nhibernate,hazzik,matyasbach,andreas-eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikic/PHP-Parser,nikic,staabm,rulatir,AlessandroMinoccheri,Danon,mrsuh,dryabov,kl3sk,theofidry,athos-ribeiro,mmcgrathRSD,frodeborli,boesing,TomasVotruba,,,,,,,,,,,,,,,,
nilsteampassnet/TeamPass,nilsteampassnet,Nachtlichtermeer,bkszzz,Johnybe,hitenmandalia,crismh90,Andrei-Paul,accnetdev,NaumovAlexey,ssudosu,titanmusk,edra10,flavioaqa,Knoppix1,tuxlinuxbr,AKorolkovs,mateuszdomagalayosi,tengdagg,domsivickas,c1thunder,whosht,necarnot,aleks001,djbotelho,rsalas,SrivalliKusumba,mnqazi,Nunuzinhaw,tiabcd,jussara-ti
nim-lang/Nim,Araq,ringabout,metagn,juancarlospaco,jmgomez,arnetheduck,bung87,heterodoxic,tersec,ILikesCaviar,ire4ever1190,demotomohiro,Menduist,beef331,SirOlaf,Gruruya,etan-status,litlighilit,konsumlamm,a-mr,planetis-m,ZoomRmc,al6x,awr1,Yardanico,jordan-gillard,hamidb80,ehmry,faldor20,AmjadHD
NixOS/nix,Ericson2314,roberth,fricklerhandwerk,edolstra,thufschmitt,nixos-discourse,abathur,SuperSandro2000,inclyc,iFreilicht,layus,infinisil,polykernel,domenkozar,balsoft,tomberek,ncfavier,NobbZ,benradf,cole-h,aakropotkin,amjoseph-nixpkgs,puckipedia,sternenseemann,andreabedini,colemickens,emilazy,Enzime,wentasah,Hoverbear
nlohmann/json,nlohmann,coveralls,gregmarr,Tomerkm,tusooa,Nauroze,jmigual,schuylermartin45,Blzut3,Octoklingjs,CosmicPegasis,fsandhei,herhor67,fanno,LecrisUT,aleksproger,sgshulman,theIDinside,BeingTormented07,LordWolfenstein,rotolof,ALF-ONE,marekpiotrowski,pedro-vicente,Watchman58,sarvex,perlippens,DuckyDuckerson,RochaStratovan,Romop5
nltk/nltk,tomaarsen,ulhaqi12,alvations,venturaEffect,kloczek,stevenbird,zakkie,chbrandt,hiDevman,dlukes,NovikovMS,BroMattMiller,cgobat,cootshk,VirgisM,rmalouf,yaalaa,Abonia1,slokeshrestha26,SamuelSilverio123,akowalsk,ekaf,Anandrajgit,Priya8888,Wilscos,TiMauzi,E-Paine,rafasimionato,sunddytwo,abdollahpour
node-formidable/formidable,GrosSacASac,machineghost,SamTV12345,phpbg,karlhorky,cagross,richard-here,fires3as0n,lou-alfaro,Robert-Du0001,WheelerLee,xifeiwu,devalp-pro,eschaefer,nike1v,soapproject,hannesfant,choutkamartin,Benjamin-Urzua,1AT1,julientype,JacobGalati,webzwo0i,gboer,peterblazejewicz,,,,,
nothings/stb,nothings,JarLob,rygorous,DaMoXin,Youlean,ma261065,AliceLR,simpo-lei,farteryhr,git-xiaocao,th1nk3r-ing,jonfryd,andykt,wcaleniekubaa,diamante0018,1vanK,danemadsen,avivbeeri,mackyle,Bonmera,pbozikis,jasonrohrer,coolcornucopia,dnotq,ChrisThrasher,tuket,N-R-K,NeilBickford-NV,geneotech,plzombie
novnc/noVNC,CendioOssman,samhed,scenaristeur,messede-degod,mghadam,profetik-777,kevinmnm,otthou,linkunfa,yangxd-ah,damnthem,RossAddinall,beksem35,bafranco10,spaceshiptrooper,mrli868,lewayotte,sergiomb2,rptb1,paulocoutinhox,S4nfs,farrukh-taqveem,symbalis,devZer0,mrThe,frossigneux,,,,
nschloe/tikzplotlib,st--,Naikless,alexgunsberg,VijayN10,strangeflavoured,felinae98,FriedrichFroebel,sbiser,FelixBiermann,CptDinosaur,nyngwang,,,,,,,,,,,,,,,,,,,
nsubstitute/NSubstitute,x789,dtchepak,marcoregueira,JonathonRP,tpodolak,ursmeili,rbeurskens,,,,,,,,,,,,,,,,,,,,,,,
nvm-sh/nvm,ljharb,NiteshBagle123,Goodluck6789,senkorl,andrew-aladev,DeusProx,dewren99,Lamera,TomZhooooou,cseitz,Buguin,aspin,milesfrain,emmanuel-ferdman,AugustinMauroy,oliverhenshaw,advra,avinagites,agenaille,wikinGit,jehtee,Violet-VE,romangraef,dev-erich,cffycls,muyiboysaka123,cekvenich2,Hypnotizexx,v1v,yespire
obophenotype/uberon,aleixpuigb,bvarner-ebi,paulacalipho,anitacaron,gouttegd,shawntanzk,cmungall,matentzn,nicolevasilevsky,helenamachado,megbalk,balhoff,tgbugs,ddooley,JoshuaFortriede,ssyeds3,ANiknejad,leroybondhus,hrshdhgd,Anoosha-Sehar,emquardokus,MCSZ,jrsjrs,cthoyt,hkir-dev,jclerman,RDruzinsky,wdduncan,dosumis,
ocornut/imgui,ocornut,GamingMinds-DanielC,dgm3333,spnda,cmarcelo,sarchar,plakapenka,LoicBaumann,PathogenDavid,sakiodre,dacobi,cfillion,ChivenZhang,BobbyAnguelov,SaschaWillems,sodamouse,Jon-Admiral-Instruments,nicolasnoble,mistahmikey,Half-People,JohelEGP,ElectroidDes,thedmd,GasimGasimzada,Dragnalith,Lester702,aiekick,dalerank,S41L0R,euyogi
octocat/Hello-World,Sad0827,GloWE3,Drmostafa20,DanielDW23,CaseySwint,MahediHasan993,kelueders,Avelas559,arijadhav1,turbervillejoseph,DevanteRose347,rrhoades10,syafai,eduque22,arthurvictory,PolarJerClub,DarienCrismas,jgellin-sf,codeblue1230,Anik-Dv,camilocarrai1997,yogireyes,HussainAther,iron-eater,elmatrwy,ElDisciplina2022,Mike-Apm,vaibhavharsoda,Derry875,mococa
octocat/Spoon-Knife,Krishanth1,Qdotagba,KChun510,MalessCG,MoumitaMurmu,wakitai,somet-code,meeowngit,charanzrapeti,caoleminhhieu,BlazingSamuel,ursah,guptah6,pushpak-11,VenireVidereVincere,cerenyanik,Richman4191,SPMagicherb,middarkknightcoder,zaytac333,atseaside,gnartohl,MaJul1,Mattia-Bieler,Jinyoung3,Westcodeclub,aswathybj1995,Realprach,Wangjian1211,todool
octokit/octokit.js,wolfy1339,gr2m,DariuszPorowski,kfcampbell,nickfloyd,oscard0m,amenowanna,rwxmad,Mahmoudgalalz,hilbix,qubitz,skeddles,atsu85,jehon,denizdogan,RupertBarrow,AWare,ipselon,Netail,estraph,CyberSeppi,josherickson,Harukisatoh,brunojuliao,itaysk,RUGMJ,Darcrandex,JayKim88,tnguyen14,RomainMuller
octokit/octokit.rb,nickfloyd,tick-taku,koic,jer-k,yeikel,expeehaa,kfcampbell,jdennes,ajistrying,zrdaley,anmol-kumar0815,tibbes,DougEdey,itskingori,davegudge,lukaszlenart,benoittgt,,,,,,,,,,,,,
ohmyzsh/ohmyzsh,carlosala,rwmitchell,mcornella,jmschp,roeniss,anastygnome,kopach,sdondley,tjarbo,kang8,Haltarys,rogarb,WH-2099,baltic-tea,roodkcab,layoaster,devm33,ratijas,jclusso,bratne,zouyang08,cohml,ferdnyc,matthiasheyman,naturedamends,littlekath25,gperdomor,justinharringa,diegocostares,principis
omega8cc/boa,omega8cc,EdNett,fotiDim,aDarkling,macmladen,reswild,dserrato,cmastro-ixiam,VangelisP,Amstercad,ColdSunERA,lexsoft00,sluc23,joseph-ebiz,karudonaldson,,,,,,,,,,,,,,,
omniauth/omniauth,nschonni,andrykonchin,BobbyMcWho,cycomachead,enomotodev,eregon,melon0803,ombr,Quitehours,msuliq,madogiwa0124,jhon50,raivil,spryffee,rakvium,jessieay,abartov,,,,,,,,,,,,,
OnionBrowser/OnionBrowser,tladesignz,cstiens,fel1x-developer,rjaxx-0900,pheonixfirewingz,lustmue,mattlikespie,Davem734,fcc5e870057,MaurizioLoreti,MusicWhore,R3DACTDgithub,ReinaRiel,R-a-l-f,visskiss,Kook3112,cpwjosh,404b,jimmyherron,n8fr8,,,,,,,,,,
opal/opal,janbiedermann,hmdne,elia,takaram,merceroncode,ysakasin,sebnozzi,,,,,,,,,,,,,,,,,,,,,,,
open-keychain/open-keychain,sjlongland,vikanezrimaya,rahilarious,flowthentic,sosthene-nitrokey,rafaelazvdo,szszszsz,BigTigr7999,Zlychka,ivanpushkin457,Gucciibagg,karenmcd,Grafenea,muchuelo,feherneoh,Nono-m0le,M66B,qknight,lu-ckystars,garik19884,JacksonChen666,M-um-p-i-t-z,karapiska1962,CueHD,CLAassistant,zilti,Valodim,,,
openaustralia/planningalerts,katska,mlandauer,JoannaHill,sabpop,krisgesling,CloCkWeRX,,,,,,,,,,,,,,,,,,,,,,,,
openbabel/openbabel,correaa,fredrikw,Mblakey,drjahu,baoilleach,ghutchis,raulorteg,chrisewels,jacosand,e-kwsm,widcardw,jmechua-itsrdc,lcmj520,zimb3l-priv,nbehrnd,emmamcintosh,Garyfallidis,dmaziuk,moyal-eth-project,Sid220,ettenhup,JoaoSerina,PatReis,WhitestoneYang,cryos,,,,,
opencart/opencart,danielkerr,TheCartpenter,pemaier,hayden-t,mhcwebdesign,ADDCreative,stalker780,opencartbot,cgcmart,condor2,ahmed-fad,MarvinKlein1508,padaliyajay,HostOncilla,feyzullahdemir,chongshengdz,ppalashturov,ZateLabClients,DaveRiba,Developermayank,itobin,faca5,mehtaman,chulcha,rahulabs,sabeti05,fubaman,eka7a,BuslikDrev,pashast
opencats/OpenCATS,RussH,zoomiest2,sm-programmer,ashishnishad,ichris007,mselavarasan,T2PAE,pribeiro42,mdghousesaqlain,,,,,,,,,,,,,,,,,,,,,
OpenChemistry/avogadrolibs,ghutchis,cryos,weblate,avo-bot,berquist,njgoncalves,pskowronskiTDx,vincenzonetti,MagicalDrizzle,Jtyndallnz,SebastianWellig,mloiz,T-Arjun,,,,,,,,,,,,,,,,,
OpenCPN/OpenCPN,bdbcat,leamas,Hakansv,nohal,rgleason,antipole2,Ptizef,bc38,transmitterdan,filochard,douwefokkema,RooieDirk,Rodemfr,mgrouch,jongough,Rasbats,codebluesailing,scadaperspective,stelian42,MikeTrader,Andreas-Argo,TwoCanPlugIn,verkerkbr,arkuuu,ka11i0,erik-meuwese-topicus,anbj,rahra,BaekSophie,akrovers
OpenDSA/OpenDSA,cashaffer,justindevs,awhicks,dtowell,,,,,,,,,,,,,,,,,,,,,,,,,,
openemr/openemr,bradymiller,stephenwaite,adunsulag,sjpadgett,robertdown,juggernautsei,mdsupport,ruthkonyn,raskolnikov-rodion,sunsetsystems,omegasystemsgroup,claimrevolution,getusername67,ophthal,Davidbwx,darkdecoy,usama-kabel,Ahmadjlallad,preet-adhikari,danishmithani,darebucad,Shramana-Biswas,learnhl7-arun,AyediOmar,julesledev,pete-boyd,spikyangel,stevenpjohnso,sergio-ropero,YuvaReddy
openframeworks/openFrameworks,ofTheo,dimitre,artificiel,Jonathhhan,2bbb,danoli3,ryohajika,roymacdonald,neilmendoza,HerrNamenlos123,NickHardeman,pedruski,c-mendoza,jayvius,kosetin,PeterYusuke,bbogart,paul-ferragut,yugakhan,nandenjin,muziker,aefreedman,jvcleave,,,,,,,
OpenRCT2/OpenRCT2,ZehMatt,OpenRCT2-git-bot,duncanspumpkin,mrmbernardi,Broxzier,Gymnasiast,karst,IntelOrca,Realsteel89,zzril,spacek531,Basssiiie,Sadret,fidwell,AaronVanGeffen,X123M3-256,janisozaur,tupaschoal,ocalhoun6,aramk-hub,reul,SpartanFrederic104,AT41,trzejos,CookiePLMonster,kyphii,cheweytoo,rik-smeets,TheClaudeQC,foxwg
openresty/lua-nginx-module,zhuizhuhaomeng,ZJfans,willmafh,oowl,rodman10,pracj3am,splitice,doujiang24,swananan,lzle,StarlightIbuki,kn007,dowabes219,ChrisJBurns,poohlaha,jeenadeepak,dayongi,nmanthena18,Massterry,VanillaHeaven,outsinre,monkeyDluffy6017,tom123-zx,JMFOREVER,Scott41382,akuzia,mcarbonneaux,eilandert,cycomachead,dakanji
openresty/openresty,zhuizhuhaomeng,xiaocang,dowabes219,dream110fly,easyhhvm,AlexanderMisel,sjkeerthi,splitice,ZhangSetSail,CrazyFluffyPony,liujin1993,panghuhu12138,lonelyhiker,Yullin,mPanasiewicz,NagamineLee,zcaudate,dominykas,yslab1,laiqinghua,rwlodarczyk-xealth,LJea,clywm520,kszyntar,Masterlvng,mecampbellsoup,agentzh,komapa,,
openscenegraph/OpenSceneGraph,robertosfield,rubenlg,kuazhangxiaoai,poelmanc,minghia,msnh2012,maksim-petukhov,derossm,AlexOct,SyPeter,HQidea,double-fault,remoe,,,,,,,,,,,,,,,,,
openstates/openstates-scrapers,showerst,chrisyamas,NewAgeAirbender,johnseekins,jessemortenson,random415,dsarhadian,,,,,,,,,,,,,,,,,,,,,,,
openstreetmap/mod/tile,hummeltech,amandasaurus,mzeedijk,SomeoneElseOSM,littlTom,xamanu,cquest,julienrf,motiejus,,,,,,,,,,,,,,,,,,,,,
openstreetmap/openstreetmap-website,gravitystorm,tomhughes,AntonKhorev,1ec5,stalker314314,Dimitar5555,simonpoole,ZeLonewolf,pnorman,zdila,SomeoneElseOSM,shdpl,tyrasd,Discostu36,SlowMo24,cmoffroad,Firefishy,LaPingvino,matkoniecz,jidanni,zbycz,fgnievinski,woodpeck,mnalis,bam80,amire80,bkil,Jakuje,SeiwonPark,natrius
opentripplanner/OpenTripPlanner,leonardehrenfried,t2gran,optionsome,vpaturet,vesameskanen,binh-dam-ibigroup,jtorin,Bartosz-Kruba,2martens,testower,lassetyr,EmmaSimon,flaktack,nurmAV,Arilith,fredrik-stock,hannesj,rmourgues31,fpurcell,tormoseng,dekarl,miles-grant-ibigroup,AdrianaCeric,dylandevfr,christiansicari,khamaileon,tsherlockcraig,sjthiessen,mpaine-act,skinkie
openvanilla/McBopomofo,ChiahongHong,aguxtin,ltlnx,lukhnos,xatier,,,,,,,,,,,,,,,,,,,,,,,,,
