reponame,developer1,developer2,developer3,developer4,developer5,developer6,developer7,developer8,developer9,developer10,developer11,developer12,developer13,developer14,developer15,developer16,developer17,developer18,developer19,developer20,developer21,developer22,developer23,developer24,developer25,developer26,developer27,developer28,developer29,developer30
JetBrains/intellij-community,t-kameyama,xbreathoflife,abelkov,nskvortsov,vmadalin,amaembo,nikitabobko,Fabrice-TIERCELIN,alonalbert,east825,omega697,thetoothpick,gharrma,fp7,SirYwell,rendner,tl-hbk,guoci,chetdeva,victor-matchenko,vladimirdolzhenko,andymagee,cac03,darthorimar,zuevmaxim,bric3,npaige,seregamorph,ybedrov,HackerMadCat
JetBrains/kotlin,sellmair,udalov,hungvietnguyen,gavra0,ilya-g,mcpiroman,AngryGami,AmrAfifiy,sandwwraith,scaventz,whyoleg,DeoTimeTheGithubUser,soywiz,robledo6,mglukhikh,YoshiRulz,Icyrockton,MarkCMann,ForNeVeR,shalupov,troelsbjerre,akerimsenol,sd-yip,mknudson94,Goooler,kunyavskiy,speshuric,t-kameyama,jeffdgr8,odedniv
jgm/pandoc,jgm,kamoe,StephanMeijer,tarleb,noahmalmed,benz0li,samahri,wlupton,hftf,kbroch-rivosinc,castedo,CodeSandwich,fsoedjede,wohenbushuang,hseg,nxn-4-wdf,frederik-elwert,VladimirAlexiev,coryschires,felixonmars,svenboulanger,freijon,mistmist,tigros,friendly,frabjous,peterjc,Ratramnus,allefeld,tk-100
johnbillion/query-monitor,crstauf,johnbillion,szepeviktor,adamsilverstein,MadtownLems,GaryJones,stefanos82,rinatkhaziev,pierre-dargham,asafm7,mrdarrengriffin,meirs1,KennethErvinYoung,dd32,lmisch,BrianHenryIE,shivapoudel,,,,,,,,,,,,,
joomla/joomla-cms,brianteeman,richard67,HLeithner,laoneo,dgrammatiko,heelc29,sandewt,Fedik,obuisard,alikon,Quy,chmst,mfleeson,wilsonge,Hackwar,MacJoom,rajputanuj31,nikosdion,hans2103,Kaushik1216,BrainforgeUK,degobbis,bembelimen,GeraintEdwards,ChristineWk,sdwjoomla,zero-24,korenevskiy,dautrich,jjnxpct
jquery/jquery,mgol,GeoffreyBooth,timmywil,gabibguti,Krinkle,DimitriPapadopoulos,ammar-Mohamed-elz3eeem,parallels999,Maxim-Mazurok,WhenJavaAttacks,viktordick,bschwarzent,indramal,jweaver0312,xixihahahha,angeljqv,Polda18,ilapavuluri,noxo,fadeli1,5minpause,ollie-iterators,raquelhortab,ewolfman,vamsikrishnach90,truthtahoe,guybedford,dmethvin,,
jruby/jruby,headius,enebo,kares,k77ch7,notEthan,eregon,ikaronen-relex,Confusion,ntkme,Leonardox45,chadlwilson,jsvd,mrnoname1000,donv,JasonLunn,byteit101,mohamedhafez,asomov,ahorek,snoglobe,edipofederle,palkan,rcrews,mrckzgl,gintama91,brasic,kristof-mattei,skunkworker,dolzenko,bquorning
juce-framework/JUCE,reuk,danra,KottV,stijnfrishert,jamierpond,vimproved,izzyreal,luzpaz,frordX,schuetzenhofer,alcomposer,FigBug,NickolayGerasimenko,nszhsl,aphelionz,rafalzalech,talaviram,mx,wupeka,yurivict,lazzarello,jony543,BaraMGB,,,,,,,
JuliaLang/julia,vtjnash,vchuravy,gbaraldi,KristofferC,pchintalapudi,aviatesk,Seelengrab,Keno,LilithHafner,stevengj,NHDaly,dkarrasch,oscardssmith,IanButterworth,d-netto,giordano,maleadt,topolarity,jishnub,aravindh-krishnamoorthy,nsajko,staticfloat,nanosoldier,adienes,kpamnany,ViralBShah,fingolfin,jakobnissen,sjkelly,Tokazama
kanyxmo/MineAdmin-Vue,NEKGod,taobali32,kanyxmo,zio-zhang,wangdezhong,ac8881,wilbur-yu,kxbyte,sorshion,littlezo,netyum,,,,,,,,,,,,,,,,,,,
karmab/kcli,karmab,larssb,LarsBingBong,mvazquezc,darknao,leo8a,lack,bayeslearner,palonsoro,pikapi111,vashirov,bookinabox,ferni7,xcnix,zaskan,,,,,,,,,,,,,,,
killme2008/aviatorscript,killme2008,jiudc,1024lzx,1sua,guosansan,NewGr8Player,9527dong,zengnm,wy545,qichhhhh,yang3shi,hbisbest,18206872076,SUSTCFather,kinoud,mjg2091864671,cyningchen,hug3id,Ocean5555,noShampoo,oooqqqooo,hillfly,deific,walterlife,peterxiemin,SimpleExpress,andy-yanggu,NiMengSL,zilong,
kivy/kivy,misl6,Zerus97,pythonic64,DexerBR,JoaoRoizenFontana,matheussmoreira,akshayaurora,mak8kammerer,abedhammoud,GreenJon902,paulvanharen,Fretless14,Julian-O,baseplate-admin,20Tauri,DarkSparkAg,jhonatancaetano,atharva-satpute,CoreTaxxe,jfishzon,Noor-Kalibbala,JacekJagosz,Sumit112192,badjano,Ahd999,RobertFlatt,RadoslawGlebicki,Cheaterman,Buratini,srolf
Kozea/WeasyPrint,liZe,kygoh,pocomane,MWedl,grewn0uille,oshmoun,braggpeaks,btsunjin,Arrendify,flubshi,Raizencorp,fat-wabbit,darix,Crowdedlight,sahilrl,kreuzberger,FelixSchwarz,pointlessone,murraycollingwood,catcombo,zorro786,Bastilla123,yurtsevich-sbb,cafelinked,mahfozmt,oscardimanno,kannanpichai,Hayat21,ssjkamei,castedo
languagetool-org/languagetool,p-goulart,Luisa-LT,mark-baas,marcoagpinto,GillouLT,susanaboatto,danielnaber,LucieSteib,Grimst,jaumeortola,Discostu36,affemitkaraffe,maphjo,evan-defran-lt,tiff,baarsrj,SteVio89,AgnesKleinhans,fabrichter,AzadehSafakish,NicoWeio,Gallaecio,PlagaMedicum,donnerpeter,ljo,St-ac-y,FredKruse,ricardojosehlima,DimitriPapadopoulos,MasterDallun511
laravel/laravel,driesvints,taylorotwell,zepfietje,emargareten,tylernathanreed,nirav-gajera,timacdonald,TheBlckbird,GrahamCampbell,lazer-hybiz,szepeviktor,spawnia,jesseleite,chu121su12,fabio-ivona,ankurk91,Jubeki,rojtjo,m1guelpf,domnantas,milwad-dev,nunomaduro,lancepioch,maartenpaauw,ibrataha8,antonkomarev,frans-slabbekoorn,asanikovich,ziming,ralphschindler
latex3/latex3,josephwright,muzimuzhi,car222222,FrankMittelbach,davidcarlisle,moewew,gmilde,user202729,Skillmon,blefloch,jbezos,Sophanatprime,u-fischer,dbitouze,mbertucci47,PhelypeOleinik,jfbu,alceu-frigeri,samcarter,SwitWu,ACGNnsj,mrpiggi,ajparsloe,RuixiZhang42,cdonovick,cereda,aminophen,niruvt,gusbrs,
lattice/quda,weinbe2,maddyscientist,dmcdougall,hummingtree,kostrzewa,mathiaswagner,aniketsen,agrebe,detar,jcosborn,bjoo,mfrasca60,Marcogarofalo,Naresh-Eddula,jxy,srijitpaul,,,,,,,,,,,,,,
Leaflet/Leaflet,Falke-Design,jonkoops,IvanSanchez,mourner,yohanboniface,Dele-Oyelese,quarl,Malvoz,Beast-Hunter,WebSnke,agilvarry,anton-seaice,iamtekson,vanillajonathan,Princeghuman,denyaalt,samclaus,jia-mx,MokahalA,KristjanESPERANTO,peter1599,kuromoka,mtmail,olanaso,antoniovlx,JessieFrance,Wisieneu,MuhammadHashir28,AndressaBiagi,sunbeichen
libevent/libevent,azat,mdavidsaver,thuantr-dek,diogoteles08,mgorny,mareksm,SunnyPaprika,fanquake,gysevvlad,yangxq5858,krzydyn,freecipher,ibauersachs,diizzyy,widgetii,zltl,tobim,thesamesam,MBeanwenshengming,zealoussnow,zanud,hart-NTP,yogo1212,asheplyakov,mllw,thefallentree,tonyyxliu,quanqixian,blastwave,jeremy-murphy
libvips/libvips,kleisauke,jcupitt,lovell,DarthSim,aradalvand,PHY3PAGEJ,xamir82,416c616e,DavidStorm,WeisiminPeng-Simmi,a3mar,senbaikang,jstkdng,suphamster,tinkyawoo,jbhanks,try-labs,brandoncc,a-bochilo,CoachRDeveloper,adriaanmeuris,romanzks,daverupp,chameleon10712,pointydev,euzada,fredprodibi,chaoxi24,jjonesrs,tongyuantongyu
lichess-org/lila,ornicar,lenguyenthanh,schlawg,kraktus,TheMadSword,scala-steward,benediktwerner,Tevajs,jalpp,stdolan,Diceroller-is-Fire,niklasf,Siderite,michd,Konstantinos07,TheTrio,fitztrev,ttomczak3,jxu,Arihol,adityaj2003,nojoking,TBestLittleHelper,Niffecs,EmptikBest,ErdoganSeref,drybalka,lagbuglag,thedancinglaundry,thomas-daniels
Light-City/CPlusPlusThings,Light-City,laialaodi,c-cpp-a,zceeyh0,xiashunhan,jcraffael,libaineu2004,AjaxZhan,zrfan2001,lhx24,bylin0829,qidouhai,wangzy0327,,,,,,,,,,,,,,,,,
LimeSurvey/LimeSurvey,Shnoulle,gabrieljenik,olleharstedt,kevin-foster-uk,twilligls,ptelu,jack-han-115,tiborpacalat,adamzammit,Trischi80,c-schmitz,valerio-bozzolan,TonisOrmisson,huntr-helper,jorynag3l,Oz-men,BertHankes,mohabmes,weberhofer,ramishenouda48,dcore94,lajosarpad,jjborie,dilyanpalauzov,sewalsh,IJustDev,,,,
linux-test-project/ltp,metan-ucw,pevik,Indirajoga,LinuxVWQH,Mona-Bagare,ZhangHongchen1,brauner,Wjjoye,Sowmya-Indranna,hifilove,finist0,kanavin,LaberIScn,guzhou2022,ADITI-MISHRA310,binhth1307,mdoucha,mdchitale,acerv,Sowmya-TI,Avinesh,wangli5665,gouhao,,,,,,,
LinuxCNC/linuxcnc,andypugh,hansu,SebKuzminsky,petterreinholdtsen,weblate,c-morley,rene-dev,zz912,smoe,rodw-au,luzpaz,mbuesch,The-going,Sigma1912,snowgoer540,gmoccapy,phillc54,dpslwk,nomi-ramzan,grandixximo,pcw-mesa,YClayton,Stutchbury,knipknap,geenweb,bhowiebkr,WOWElectronics,d2inventory,ALatSMT,hdpreez
linuxmint/cinnamon,fredcw,mtwebster,rcalixte,claudiux,anaximeno,Secret-chest,kacperpaczos,JosephMcc,Gr3q,leigh123linux,InfoLibre,clefebvre,aneios,MarjaE2,EvilGremlin,danimesq,flo-at,Gaturinho,LinuxOnTheDesktop,Nightwing0815,Drugwash2,ColdSpirit0,lm2lm2,snr-lab,kaifkh20,lestcape,genepine,Fantu,Isolator70,danielgiljara
liquibase/liquibase-hibernate,filipelautert,jandroav,jnewton03,lorenzbaier,Bert-R,AntonBarkan,MKaluza1983,syahmiabbas,bazsoja,alan-czajkowski,matthiasstrauch,sbont,felixoi,fleboulch,xintellion,rdndnl,hetzijzo,wslaghekke,,,,,,,,,,,,
liquibase/liquibase,filipelautert,StevenMassaro,MalloD12,sayaliM0412,wwillard7800,mkarg,XDelphiGrl,abrackx,nvoxland,jccampanero,rberezen,jasonlyle88,jnewton03,mensinda,kevin-atx,jandroav,tati-qalified,EvaristeGalois11,piotrwielgolaski-tomtom,Avanishkumar28,fbiville,arturobernalg,Sumitkrchaudhary,adrian-velonis1,JulienMa94,farion,suryaaki2,mches,MichaelKern-IVV,sideeffffect
luc-github/ESP3D-WEBUI,luc-github,scorninpc,edrex,,,,,,,,,,,,,,,,,,,,,,,,,,,
madler/zlib,madler,alejandro-colomar,gvollant,Neustradamus,TabLand,AtariDreams,ClausKlein,AraHaan,tbeu,rajangra25,eugenegff,thesamesam,irwir,Dactary,joeyparrish,danielalves,DimitriPapadopoulos,pmqs,wantehchang,philippeVerney,jkbonfield,michalc,cracy3m,RedworkDE,RobinGeffroy,minchai23,spaette,ehoffman2,yyang52,DKGH
magefree/mage,xenohedron,Susucre,JayDi85,alexander-novo,artemiswkearney,Grath,ssk97,LegionedintheDamned,theelk801,PurpleCrowbar,TiagoMDG,chesse20,bobby-mccann,rullinoiz,JelloPiranha,arcox,sprangg,Don-Cruz,LePwnerer,randomsuspect,Anarasha,spjspj,bobwoco,ghost209,Notshauna,c0akz,Jipsu,gravitybone,correl,RyanSwanson42
magento/magento2,engcom-Bravo,engcom-Hotel,fredden,engcom-Lima,engcom-Echo,engcom-Dash,github-jira-sync-bot,engcom-Charlie,mrtuvn,ihor-sviziev,hostep,aasim110,Nuranto,cptX,engcom-November,Den4ik,rostilos,MeCapron,in-session,Kannakiraj123,ioweb-gr,smartexcan,Vasudev-22,adarshkhatri,mohammadbharmal,topanok,alucardatem,chernenm,FadedOut,chittima
magicbug/Cloudlog,phl0,AndreasK79,magicbug,int2001,m0urs,iu2frl,cats-shadow,rtoenniges,minorsecond,gx1400,dg0tm,DL3EL,oh1jw,pa8s,ofadam,Werzi2001,ve1cwj,mattbk,ryandzink,DeveloperNeon,N9EAT,hugosilvaparagramanet,lu1aax,ashleyprimo,abarrau,sipsmi,TheMockTv,do4bmw,techfixpros,alexjj
magit/magit,tarsius,aepyornis,salutis,kyleam,akreisher,vermiculus,mbeppler,Binary-Eater,bcc32,rdparker,Walheimat,protesilaos,tsdh,zenspider,mscfd,comburent,chrhansk,geza-herman,ebouna,sielicki,0-wiz-0,ulm,juanedi,rallyemax,DamienCassou,DerickEddington,kuanyui,cabo,aaronjensen,dhess
major/MySQLTuner-perl,jmrenouard,longradix,FabioPedretti,zoddshop,jesusbagpuss,Lofesa,ryno83,paskal,githuhb,alexlii1971,Danrancan,ProceduralMan,elyograg,hunterpl,H0w4rd,j75,sbrowne-godaddy,bitcoinvero,dragonfly-net,adaugherity,ckujau,Znuff,hcooper,,,,,,,
mantisbt/mantisbt,dregad,atrol,vboctor,CasN,tgulacsi,fAtsteD,ankush26,Girgias,Koenvh1,,,,,,,,,,,,,,,,,,,,,
mapeditor/tiled,bjorn,eishiya,pixelartgirl,dogboydog,a-morphous,retroarch-girl,TehCupcakes,vinnydiehl,xentripetal,UliAbo,howprice,keharriso,Coastcrawler,weblate,fishyfriend,santuchoagus,matrixxonek,akawana,CaojiamingAlan,SabotageAndi,rtorralba,rektuiemforameme,JackConceprio1,fjnlpy,robertk92,SaltSouls,seanmorris,michaliskambi,imagicalFantasy,Majirefy
markedjs/marked,UziTech,styfle,DreierF,calculuschild,hzoou,benmccann,notebook-t,azmy60,mateuscruz,zhao-xiaohu,p0358,mckaygerhard,joshbruce,KaizOffical,quinton-ashley,yoyo837,alexfauquette,danielkrajnik,tborychowski,ShadmanAfzal,timcharper,kokeman,birdofpreyru,Conduitry,davidsandoz,ianhell,jiayouzl,joebnb,huangyuzhe1121,khanrahim1616
MarlinFirmware/Marlin,thinkyhead,thisiskeithb,ellensp,GMagician,classicrocker883,EvilGremlin,narno2202,lukasradek,markniu,danbrianwhite,jmz52,rondlh,mriscoc,gianguardo,lujios,tombrazier,trengtor,Tupson444,DerAndere1,smikutsky,RV-from-be,uncellon,plampix,ahmetcemturan,strnk,ThomasToka,blazewicz,phucly01,I3DBeeTech,Bob-the-Kuhn
MassTransit/MassTransit,phatboyg,NooNameR,JamesDaltonGEDigital,danspark,drusellers,sam9291,cmeeren,ownerer,codyspeck-ppa,SFSRCole,austindrenski,ShadowDog007,mateusdemboski,barbaralocsi,Tripletri,McMlok,rmeshksar,Alexander-Leontiev,SimonCropp,kocourOggy,WaelMourad,milkweed-crs,maartenvana,MovaUA,MatusBuzassy,mavaddat,Hcu,lcooper2,bhugot,ioaznnis
mate-desktop/caja,lukefromdc,raveit65,cwendling,L-U-T-i,zhuyaliang,mbkma,davidhedlund,basicmaster,yangxiaojuan-loongson,crojack,Sunderland93,billyswong,JeffBuckles,thedanyes,pierre-rs,danielaixer,Lalarian,Nikoh77,mttr402,CHJ85,Lurux,alkisg,cristian64,taiwithers,kenshiwara,Yetoo1,rudolphi,thesquash,ltning,mabra
mate-desktop/mate-terminal,lukefromdc,rbuj,bergstenarn,L-U-T-i,cwendling,rubyFeedback,wb027,thesquash,yotamshtosselfg,scottjl,,,,,,,,,,,,,,,,,,,,
materialsproject/pymatgen,janosh,arosen93,JaGeo,shyuep,mkhorton,mattmcdermott,naik-aakash,lbluque,chiang-yuan,exenGT,matthewkuner,kamronald,rkingsbury,jmmshn,stefsmeets,jonathanjdenney,orionarcher,kavanase,MichaelWolloch,njzjz,QuantumChemist,fyalcin,mcgalcode,drew-parsons,peikai,BowenD-UCB,esoteric-ephemera,stichri,ml-evs,guymoore13
maths/moodle-qtype/stack,sangwinc,aharjula,LukeLongworth,AnupamaSarjoshi,Famondir,m-r-k,geoo89,alcarola,malthefogsporring,jonaslache,smborio,anst-i,lebedevalex3,daniil-berg,PM84,polsys,Bjoern-Ge,hgeorgsch,btelgen,timhunt,GraphZahlCounts,opitz,ianjones,FelixDiLenarda,otatarintseva,EJMFarrow,KZerva,alexanderwilliams091,AdrianDoM,mkraska
maxcom/lorsource,maxcom,blogdron,DarkHobbit,Zhbert,Igor-Pikulev,Pinkbyte,zowers,Vatihan,,,,,,,,,,,,,,,,,,,,,,
medic/cht-core,dianabarsan,garethbowen,latin-panda,tatilepizs,jkuester,lorerod,kennsippell,mrjones-plip,henokgetachew,m5r,yrimal,PrjShrestha,Reagan,michaelkohn,ngaruko,samuelimoisili,delcroip,binokaryg,andrablaj,fardarter,jonathanbataire,Hareet,derickl,esthermmoturi,craig-landry,knyar,EvelynWaweru,Elsbokk,freddieptf,NYARAS
melpa/melpa,riscy,milkypostman,tarsius,alanpearce,swflint,Iacob,mohkale,brownts,drghirlanda,jcs090218,DamienCassou,fejfighter,licht1stein,progfolio,bayesians-inc-PL,daanturo,habamax,idlip,adamkruszewski,kimim,ideasman42,peterhoeg,kiyoka,cmccloud,isamert,zzkt,erjoalgo,Sorixelle,lorniu,emiflake
merryhime/dynarmic,merryhime,Steveice10,liamwhite,SachinVin,NotToDisturb,Helloworld996,abouvier,,,,,,,,,,,,,,,,,,,,,,,
meteor/meteor,Grubba27,zodern,StorytellerCZ,denihs,rodrigok,fredmaiaarantes,matheusccastroo,vit0rr,radekmie,CLAassistant,harryadel,yrambler2001,filipenevola,Torgen,vlasky,wreiske,paulincai,henriquealbert,allenfuller,veodko,Julusian,msavin,perbergland,jamauro,ocodista,fauzi9331,anddreluis2,tnir,striezel,ziedmahdi
MinecraftForge/MinecraftForge,ChampionAsh5357,pupnewfster,PaintNinja,cpw,XFactHD,SizableShrimp,LexManos,Shadows-of-Fire,marchermans,Jonathing,RogueLogix,CLAassistant,Matyrobbrt,danorris709,cech12,Lolothepro,Meldexun,TelepathicGrunt,embeddedt,Kovak,agnor99,Technici4n,DBotThePony,Su5eD,ChiefArug,RealMangorage,Commoble,JustRed23,Tslat,bconlon1
minetest/minetest,Desour,sfan5,srifqi,SmallJoker,grorp,lhofhansl,rubenwardy,Zughy,Bituvo,OgelGames,oong819,JosiahWI,appgurueu,rollerozxa,numberZero,Andrey2470T,fluxionary,runsy,Wuzzy2,nininik0,savilli,AFCMS,Montandalar,wsor4035,techno-sam,doxygen-spammer,LandonAConway,MisterE123,efa,PavanLuca
miniupnp/miniupnp,miniupnp,scribam,enihcam,sblagodatskikh,pali,sanderjo,burk3,ben-31,stefantalpalaru,Jamari2k2k2k,MoonlightWave-12,GreatMichaelLee,svenauhagen,insunaa,Handsome1080P,mooninite,,,,,,,,,,,,,,
mltframework/mlt,bmatherly,ddennedy,j-b-m,luzpaz,GerryHickman,dany123,ravemo,gebiWangshushu,exceptiondc,frdbr,Seriy-MLGamer,ilearnio,laszloatoth,pinotree,ab503044120,Adonis-Song,vishwin,guiodic,Yamakuzure,Tjoppen,,,,,,,,,,
mltframework/shotcut,ddennedy,bmatherly,Sharc99,Ticrob,dany123,ravemo,Delocop,allesan,wimjongman,luzpaz,andrewk8,kli2013,aaaaadrien,TheRaven500,blaskey,jecarheas,AhNesh,FahadNiazi420,oatycreates,VladimirLevadnij,Proktologe,Mutusen,langfeld,glaubersm,docent27,Abelkrijgtalles,,,,
modxcms/revolution,opengeek,smg6511,JoshuaLuckers,Ruslan-Aleev,sebastian-marinescu,halftrainedharry,Maef,dimasites,Jako,SnowCreative,modxcommunity,Mark-H,modxbot,rsdesign007,matdave,rthrash,ChrstnMgcn,rtripault,BobRay,muzzwood,retoeller,rasxod,Ibochkarev,Bruno17,MiroslavVo,Omeryl,deJaya,juro,gpsietzema,
mongodb/mongo,y123456yz,kaloianm,Meilianggang,m4nti5,gewa24,MarcusSorealheis,debdutdeb,jkcherrybomb,jmikola,hemanth8928,mikeshen7,saurabhprasadsah,akirataguchi115,AIxWall,siddux,cusspvz,BillyDonahue,shreyaskalyan,yuanfang0818,kelly-cs,erwee,patrykzabkiewicz,dstorch,,,,,,,
mong/mongts,arnfinn,Stein-Kato,knarfneslo,JorgenRe1,HajiKedir,,,,,,,,,,,,,,,,,,,,,,,,,
mozilla/bedrock,alexgibson,stephaniehobson,craigcook,stevejalim,reemhamz,nathan-barrett,pmac,robhudson,slightlyoffbeat,fkiriakos07,flodolo,a-kyne,gene1wood,peiying2,enavajas,yashkhandelwal123,bcolsson,Ingi-Hong,krattliff11,tomrittervg,pascalchevrel,kirill-demtchouk,topotropic,rvandermeulen,NitinRana01125532553,jswinarton,denschub,amishk783,bkochendorfer,LuminitaB
mozilla/firefox-translations-training,bhearsum,gabrielBusta,ahal,eu9ene,TommiNieminen,andrenatal,marco-c,,,,,,,,,,,,,,,,,,,,,,,
msgpack/msgpack-c,redboltz,uyha,codecov-commenter,aberaud,aint-no-programmer,Avalanchecoder,cbccy,joelguittet,gwankyun,,,,,,,,,,,,,,,,,,,,,
mxe/mxe,Jan200101,darealshinji,toots,rayment,mjwoods,bugwelle,lopippo,txeyen,fatduckling,schloegl,TSC21,brettrjones-github,ls-devs,sabelka,cgilles,Mengjianren,inflex,atsb,brimmen,nikonowiczp,dojoe,realnc,hdclark,mabrand,genpfault,mbunkus,dschwen,,,
mysociety/alaveteli,gbp,garethrees,alexander-griffen,HelenWDTK,mdeuk,laurentS,confirmordeny,WilliamWDTK,FozzieHi,ajparsons,dracos,MattK1234,JenMysoc,schlos,,,,,,,,,,,,,,,,
MythTV/mythtv,kmdewaal,bennettpeter,twitham1,Jpilk,linuxdude42,rcrdnalor,jfabernathy,warpme,garybuhrmaster,gigem,rungitringit,MmAaXx500,dfdario,billmeek,arobro,citronalco,DarkDefender,thomasboehm,marillat,SteveErl,bshanteau,benjsc,mspieth,,,,,,,
nervosnetwork/ckb,eval-exec,nervos-bot-user,zhangsoledad,chenyukang,quake,mohanson,doitian,xxuejie,driftluo,Keith-CY,gpBlockchain,guomaoqiu,liya2017,XuJiandong,liuck8080,yangby-cryptape,EthanYuan,Flouse,wyjin,Simon-Tl,blckngm,,,,,,,,,
Nesvilab/FragPipe,fcyu,anesvi,She1111,tygrad,dpolasky,danielgeiszler,feng6544,alyssaxin,ClaSofMag,ericart89,guoci,Junzhimo,MP-MS-Spec,BrendonSeale,JM-Bader,ndtivendale,pankajdwid,lolaakinlaja,MatteoLacki,EdwardSC625,vanostad,MarcD83,Litovk,johnpleid,d0minicO,elenitskorda,ohovey5,lbwfff,ashwinkallor,animesh
neutrinolabs/xrdp,matt335672,metalefty,iskunk,maghmo1,Cromagnon31,pcgeek86,m666m,jsorg71,themexdev,Nexarian,noorez,yurivict,JSSSSSSSSSS,SorrowKiss,JM-Teule,reukiodo,morgancoxuk,isx2015,steffen-moser,apivovarov,cartpauj,AlexanderZhirov,pktiuk,enricotagliavini,csantosbh,mvinsky,CynCeyd,puneet336,LostPoE,alfredojoseneto
newrelic/newrelic-ruby-agent,fallwith,kaylareopelle,hannahramadan,tannalynn,kford-newrelic,olleolleolle,manuraj17,antonmorant,prateeksen,jcrisp,ajesler,JulienDefrance,CLAassistant,aki1221,jdelStrother,dark-panda,travisbell,zohaib-sarwar-confiz,toncid,ryansch,isaacbowen,ioquatix,fcheung,,,,,,,
nikic/PHP-Parser,nikic,staabm,rulatir,AlessandroMinoccheri,Danon,mrsuh,dryabov,kl3sk,theofidry,athos-ribeiro,mmcgrathRSD,frodeborli,boesing,TomasVotruba,,,,,,,,,,,,,,,,
nilsteampassnet/TeamPass,nilsteampassnet,Nachtlichtermeer,bkszzz,Johnybe,hitenmandalia,crismh90,Andrei-Paul,accnetdev,NaumovAlexey,ssudosu,titanmusk,edra10,flavioaqa,Knoppix1,tuxlinuxbr,AKorolkovs,mateuszdomagalayosi,tengdagg,domsivickas,c1thunder,whosht,necarnot,aleks001,djbotelho,rsalas,SrivalliKusumba,mnqazi,Nunuzinhaw,tiabcd,jussara-ti
nim-lang/Nim,Araq,ringabout,metagn,juancarlospaco,jmgomez,arnetheduck,bung87,heterodoxic,tersec,ILikesCaviar,ire4ever1190,demotomohiro,Menduist,beef331,SirOlaf,Gruruya,etan-status,litlighilit,konsumlamm,a-mr,planetis-m,ZoomRmc,al6x,awr1,Yardanico,jordan-gillard,hamidb80,ehmry,faldor20,AmjadHD
NixOS/nix,Ericson2314,roberth,fricklerhandwerk,edolstra,thufschmitt,nixos-discourse,abathur,SuperSandro2000,inclyc,iFreilicht,layus,infinisil,polykernel,domenkozar,balsoft,tomberek,ncfavier,NobbZ,benradf,cole-h,aakropotkin,amjoseph-nixpkgs,puckipedia,sternenseemann,andreabedini,colemickens,emilazy,Enzime,wentasah,Hoverbear
nlohmann/json,nlohmann,coveralls,gregmarr,Tomerkm,tusooa,Nauroze,jmigual,schuylermartin45,Blzut3,Octoklingjs,CosmicPegasis,fsandhei,herhor67,fanno,LecrisUT,aleksproger,sgshulman,theIDinside,BeingTormented07,LordWolfenstein,rotolof,ALF-ONE,marekpiotrowski,pedro-vicente,Watchman58,sarvex,perlippens,DuckyDuckerson,RochaStratovan,Romop5
nothings/stb,nothings,JarLob,rygorous,DaMoXin,Youlean,ma261065,AliceLR,simpo-lei,farteryhr,git-xiaocao,th1nk3r-ing,jonfryd,andykt,wcaleniekubaa,diamante0018,1vanK,danemadsen,avivbeeri,mackyle,Bonmera,pbozikis,jasonrohrer,coolcornucopia,dnotq,ChrisThrasher,tuket,N-R-K,NeilBickford-NV,geneotech,plzombie
ocornut/imgui,ocornut,GamingMinds-DanielC,dgm3333,spnda,cmarcelo,sarchar,plakapenka,LoicBaumann,PathogenDavid,sakiodre,dacobi,cfillion,ChivenZhang,BobbyAnguelov,SaschaWillems,sodamouse,Jon-Admiral-Instruments,nicolasnoble,mistahmikey,Half-People,JohelEGP,ElectroidDes,thedmd,GasimGasimzada,Dragnalith,Lester702,aiekick,dalerank,S41L0R,euyogi
octocat/Hello-World,Sad0827,GloWE3,Drmostafa20,DanielDW23,CaseySwint,MahediHasan993,kelueders,Avelas559,arijadhav1,turbervillejoseph,DevanteRose347,rrhoades10,syafai,eduque22,arthurvictory,PolarJerClub,DarienCrismas,jgellin-sf,codeblue1230,Anik-Dv,camilocarrai1997,yogireyes,HussainAther,iron-eater,elmatrwy,ElDisciplina2022,Mike-Apm,vaibhavharsoda,Derry875,mococa
octocat/Spoon-Knife,Krishanth1,Qdotagba,KChun510,MalessCG,MoumitaMurmu,wakitai,somet-code,meeowngit,charanzrapeti,caoleminhhieu,BlazingSamuel,ursah,guptah6,pushpak-11,VenireVidereVincere,cerenyanik,Richman4191,SPMagicherb,middarkknightcoder,zaytac333,atseaside,gnartohl,MaJul1,Mattia-Bieler,Jinyoung3,Westcodeclub,aswathybj1995,Realprach,Wangjian1211,todool
ohmyzsh/ohmyzsh,carlosala,rwmitchell,mcornella,jmschp,roeniss,anastygnome,kopach,sdondley,tjarbo,kang8,Haltarys,rogarb,WH-2099,baltic-tea,roodkcab,layoaster,devm33,ratijas,jclusso,bratne,zouyang08,cohml,ferdnyc,matthiasheyman,naturedamends,littlekath25,gperdomor,justinharringa,diegocostares,principis
OnionBrowser/OnionBrowser,tladesignz,cstiens,fel1x-developer,rjaxx-0900,pheonixfirewingz,lustmue,mattlikespie,Davem734,fcc5e870057,MaurizioLoreti,MusicWhore,R3DACTDgithub,ReinaRiel,R-a-l-f,visskiss,Kook3112,cpwjosh,404b,jimmyherron,n8fr8,,,,,,,,,,
